MMPID	CHR	START	STOP	SAMPLE_ID	FC_X	FC_H3	FC_K27	ABS_K4	GENE	FC_EXPRESSION
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	DDX11L1	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	DDX11L1	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	DDX11L1	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	DDX11L1	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	DDX11L1	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	DDX11L1	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	DDX11L1	0
2	chr1	11093	11785	DL191	0	2.125	0	0	DDX11L1	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	DDX11L1	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	DDX11L1	0
2	chr1	11093	11785	DL3B538	0	0	0	0	DDX11L1	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	DDX11L1	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	MIR1302-11	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	DDX11L1	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	MIR1302-11	0
2	chr1	11093	11785	DL487	0.74	0	0	0	DDX11L1	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	MIR1302-11	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	MIR1302-11	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	MIR1302-11	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	MIR1302-11	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	MIR1302-11	0
2	chr1	11093	11785	DL191	0	2.125	0	0	MIR1302-11	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	MIR1302-11	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	MIR1302-11	0
2	chr1	11093	11785	DL3B538	0	0	0	0	MIR1302-11	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	MIR1302-11	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	WASH7P	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	WASH7P	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	MIR1302-11	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	WASH7P	0.691
2	chr1	11093	11785	DL487	0.74	0	0	0	MIR1302-11	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	WASH7P	0.847
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	WASH7P	2.011
2	chr1	11093	11785	DL166	0	1.389	0	18.878	WASH7P	1.229
2	chr1	11093	11785	DL397	0.88	1.221	0	0	WASH7P	0.897
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	WASH7P	0.392
2	chr1	11093	11785	DL191	0	2.125	0	0	WASH7P	0.542
2	chr1	11093	11785	DL3B538	0	0	0	0	WASH7P	0.484
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	WASH7P	1.192
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	FAM138A	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	WASH7P	0
