MMPID	CHR	START	STOP	SAMPLE_ID	FC_X	FC_H3	FC_K27	ABS_K4	GENE	FC_EXPRESSION
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	DDX11L1	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	DDX11L1	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	DDX11L1	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	DDX11L1	0
1	chr1	9942	10653	DL191	0	0.656	0	0	DDX11L1	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	DDX11L1	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	DDX11L1	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	DDX11L1	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	DDX11L1	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	DDX11L1	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	DDX11L1	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	DDX11L1	0
1	chr1	9942	10653	DL487	1.57	0	0	0	DDX11L1	0
1	chr1	9942	10653	DL3B538	0	0	0	0	DDX11L1	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	MIR1302-11	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	MIR1302-11	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	MIR1302-11	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	MIR1302-11	0
1	chr1	9942	10653	DL191	0	0.656	0	0	MIR1302-11	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	MIR1302-11	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	MIR1302-11	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	MIR1302-11	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	MIR1302-11	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	MIR1302-11	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	MIR1302-11	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	MIR1302-11	0
1	chr1	9942	10653	DL487	1.57	0	0	0	MIR1302-11	0
1	chr1	9942	10653	DL3B538	0	0	0	0	MIR1302-11	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	WASH7P	2.011
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	WASH7P	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	WASH7P	1.229
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	WASH7P	0
1	chr1	9942	10653	DL191	0	0.656	0	0	WASH7P	0.542
1	chr1	9942	10653	DL3A193	0	0.486	0	0	WASH7P	0.691
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	WASH7P	1.192
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	WASH7P	0.847
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	WASH7P	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	WASH7P	0.897
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	WASH7P	0
